sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
30,2021/06/05-13:54:52,-80547,35.769940345467944,45.74233087259341,105.04143372030903,105.0,99.85645600078465,100.0
31,2021/06/05-13:55:45,-80548,35.974831450526324,46.201993620258406,105.6402419465685,105.0,99.50817969433149,100.0
31,2021/06/05-13:55:48,-80548,36.05418256876567,46.21923780600429,105.89537583370235,105.0,99.54135682089682,100.0
31,2021/06/05-13:55:52,-80549,35.986178537045475,46.10701962488059,105.61864146402809,105.0,99.83891368298859,100.0
32,2021/06/05-13:56:45,-80549,36.201065589674045,46.459893122473034,105.37355752522627,105.0,99.52292414790368,100.0
32,2021/06/05-13:56:49,-80550,36.26864733441835,46.36551926152458,105.15021388381946,105.0,99.4636925156015,100.0
32,2021/06/05-13:56:52,-80550,36.23487300131552,46.459893122473034,104.87635719586314,105.0,99.75257947169544,100.0
33,2021/06/05-13:57:45,-80550,36.448221793068456,46.176113624439665,105.79168208196884,105.0,99.53867857293844,100.0
33,2021/06/05-13:57:49,-80551,36.4258258970533,46.10701962488059,105.34279315123085,105.0,99.49425592804914,100.0
33,2021/06/05-13:57:53,-80553,36.50414825628019,46.46846176082988,104.9238344636595,105.0,99.757329715394,100.0
34,2021/06/05-13:58:45,-80552,36.70474009079447,47.03852016658783,105.19193305942301,105.0,99.53046265270787,100.0
34,2021/06/05-13:58:49,-80554,36.76025508978279,46.89462498384023,105.08814957629389,105.0,99.47024321147921,100.0
34,2021/06/05-13:58:53,-80553,36.726956726218475,46.89462498384023,105.26813627599961,105.0,99.7355199660758,100.0
35,2021/06/05-13:59:45,-80554,36.848895276613575,46.97086731351766,105.24021772756966,105.0,99.58752400078937,100.0
35,2021/06/05-13:59:49,-80556,36.926270852131665,46.97932998768039,104.87161345976283,105.0,99.51624414792364,100.0
35,2021/06/05-13:59:53,-80555,36.98143420355257,46.76723989839303,104.85383131847232,105.0,99.74141206381682,100.0
36,2021/06/05-14:00:45,-80556,37.146403427694736,46.96240290282577,104.76191028107398,105.0,99.56802634937898,100.0
36,2021/06/05-14:00:49,-80557,37.19026411466075,47.004707600833115,105.04380900224174,105.0,99.44211421651417,100.0
36,2021/06/05-14:00:53,-80557,37.17930409353784,46.98779092629826,104.918427686889,105.0,99.64215830036582,100.0
37,2021/06/05-14:01:45,-80557,37.29967616605211,47.32481652482306,104.71478627679062,105.0,99.54168907660093,100.0
37,2021/06/05-14:01:49,-80558,37.365159918048676,47.29123708115077,104.97076615713236,105.0,99.48334468429869,100.0
37,2021/06/05-14:01:53,-80559,37.419636567277564,47.26603465497226,105.10008279322918,105.0,99.76168496273421,100.0
38,2021/06/05-14:02:45,-80559,37.550037119845285,47.717358656516524,105.07853897964742,105.0,99.49714062009635,100.0
38,2021/06/05-14:02:49,-80559,37.550037119845285,47.542424220706266,105.21019541477621,105.0,99.43769974866504,100.0
38,2021/06/05-14:02:53,-80560,37.58256190160546,47.40027115659302,104.99719689085434,105.0,99.70979962420101,100.0
39,2021/06/05-14:03:45,-80560,37.70156328912009,47.80869968250414,105.07789516129411,105.0,99.60348816472764,100.0
39,2021/06/05-14:03:49,-80561,37.74473718934661,47.64247646159913,104.85146908159547,105.0,99.49031500191495,100.0
39,2021/06/05-14:03:53,-80561,37.70156328912009,47.684094241022876,104.78740031315303,105.0,99.67758202913089,100.0
40,2021/06/05-14:04:46,-80562,37.87394324328079,48.37717280929087,105.11535856033555,105.0,99.63891238407547,100.0
40,2021/06/05-14:04:49,-80563,37.841685968738204,48.3116541257549,104.9738109208791,105.0,99.44240092815392,100.0
40,2021/06/05-14:04:53,-80563,37.95981919721879,48.03206049844846,104.75294056328833,105.0,99.58446933981166,100.0
41,2021/06/05-14:05:46,-80563,38.10960327116527,48.43441863335403,105.26929451319833,105.0,99.65196297932816,100.0
41,2021/06/05-14:05:49,-80564,38.06687230811423,48.3116541257549,105.27790531547669,105.0,99.46759269213615,100.0
41,2021/06/05-14:05:53,-80564,38.10960327116527,48.180311416623454,104.91841880150008,105.0,99.59103161605964,100.0
42,2021/06/05-14:06:46,-80564,38.248125061097426,47.850152577671736,104.97241158074559,105.0,99.66726330496432,100.0
42,2021/06/05-14:06:50,-80565,38.21620635559492,48.07329366655398,104.95124300685501,105.0,99.44739969747819,100.0
42,2021/06/05-14:06:53,-80565,38.21620635559492,47.98252730020124,104.66706812637238,105.0,99.54692449950328,100.0
43,2021/06/05-14:07:46,-80565,38.35431455585916,48.81679891771137,105.04133317666779,105.0,99.7321086669113,100.0
