sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
21,2021/06/12-13:16:02,-4231,30.261851192113124,-180.0,105.0398993754174,105.0,99.5436453252757,100.0
22,2021/06/12-13:16:54,-4232,30.641949125288683,-180.0,105.34512674838663,105.0,100.03780473367573,100.0
22,2021/06/12-13:16:58,-4236,30.95873031892907,-180.0,105.06505132486619,105.0,99.67435311842296,100.0
22,2021/06/12-13:17:02,-4231,30.230178308961996,-180.0,105.01781011171438,105.0,99.70524037417451,100.0
23,2021/06/12-13:17:55,-4240,30.641949125288683,-180.0,105.05310786541122,105.0,99.53952005211448,100.0
23,2021/06/12-13:17:58,-4237,30.610272651895276,-180.0,105.02480789285745,105.0,99.8851039229151,100.0
23,2021/06/12-13:18:02,-4241,30.57859647773528,-180.0,104.89461772617301,105.0,100.47036877445434,100.0
24,2021/06/12-13:18:55,-4244,31.02209014930741,-180.0,105.11107353892119,105.0,99.98646726703356,100.0
24,2021/06/12-13:18:59,-4248,31.085451177060605,-180.0,105.10919094226574,105.0,100.44708870242418,100.0
24,2021/06/12-13:19:02,-4248,31.338907263181188,-180.0,105.11215164464389,105.0,100.2837254711419,100.0
25,2021/06/12-13:19:55,-4250,31.21217682496341,-180.0,105.24734421565952,105.0,100.29855902966428,100.0
25,2021/06/12-13:19:59,-4250,31.085451177060605,-180.0,105.18037856016032,105.0,100.1883064762803,100.0
25,2021/06/12-13:20:03,-4251,31.370590621286176,-180.0,105.22149337262023,105.0,99.86072778856979,100.0
26,2021/06/12-13:20:55,-4254,31.49732704816177,-180.0,105.09289283893672,105.0,100.17536945479019,100.0
26,2021/06/12-13:20:59,-4254,31.655754319919005,-180.0,105.24956099365741,105.0,99.85648140267269,100.0
26,2021/06/12-13:21:03,-4252,31.782501528517788,-180.0,105.16158117767074,105.0,99.74990339830227,100.0
27,2021/06/12-13:21:55,-4251,32.09939051953084,-180.0,104.91883195172005,105.0,99.96948300730203,100.0
27,2021/06/12-13:21:59,-4254,31.814189079515128,-180.0,104.8145440206045,105.0,99.59360228533986,100.0
27,2021/06/12-13:22:03,-4255,32.06770027222352,-180.0,105.0419682575303,105.0,99.91015397005641,100.0
28,2021/06/12-13:22:56,-4257,32.574780189800705,-180.0,104.88330803824827,105.0,99.75738492596494,100.0
28,2021/06/12-13:22:59,-4261,32.32123064086823,-180.0,104.91389450189068,105.0,100.21911856982197,100.0
28,2021/06/12-13:23:03,-4258,32.41630947379395,-180.0,104.84505993514755,105.0,100.41903624251935,100.0
29,2021/06/12-13:23:56,-4266,32.733258399807994,-180.0,105.16043429415262,105.0,100.10991572542626,100.0
29,2021/06/12-13:23:59,-4262,32.79665178236935,-180.0,105.10774682918878,105.0,100.26916252795337,100.0
29,2021/06/12-13:24:03,-4263,32.733258399807994,-180.0,104.97274501585399,105.0,99.87054611814823,100.0
30,2021/06/12-13:24:56,-4269,32.82834892337503,-180.0,104.98243439535074,105.0,100.1567938635832,100.0
